nom,rue,long,lat
P+R Bel Air,Avenue Pierre Mendès France,4.91525011366011,45.7242570452412
Gare de Dommartin-Lissieu,Chemin des Chevreuils,4.7360574,45.7474189562367
P+R Mermoz,Route Nationale 2043,4.88291143528036,45.7357013750587
P+R Vaise 2,Route de Saint Cyr,4.81576374982347,45.7958936652466
Parking Bellecour,Place Bellecour,4.83077000000003,45.75856
Parking Hôtel de Ville,Quai Jean Moulin,4.83842000000004,45.7641300000001
Parking Grolée,Rue Tupin,4.83485579137149,45.7629475324449
Parking Saint Antoine,Quai St Antoine/Quai Célestins,4.83057346028321,45.7601534421853
Halte Ferroviaire Le Méridien,Avenue Jean Bergeron,4.74862000000007,45.76883
Parking Perrache 2,Centre d'échange de Perrache,4.8295104,45.7478416
Parking Ney,Rue Ney,4.85564910325766,45.7671114111078
Parking Villette,Rue Maurice Flandin,4.86298186272074,45.7598970022356
Gare de Saint-Fons,Avenue Diderot,4.8527776,45.705486
Gare de Givors Ville,Rue Pierre Sémard,4.84499484184959,45.741202409141
Parking Croix-Rousse,Rue de Belfort,4.83475072547434,45.7785732756111
P+R Meyzieu Panettes,Chemin des Panettes,4.82965000000007,45.75917
Parking P1 - Aéroport Lyon - St-Exupéry,Aéroport Saint Exupéry,"5,077925713386929","45,72202930340961"
Parking P0 - Aéroport Lyon - St-Exupéry,Aéroport Saint Exupéry,"5,077925713386929","45,72202930340961"
Parking P2 - Aéroport Lyon - St-Exupéry,Aéroport Saint Exupéry,"5,077925713386929","45,72202930340961"
Parking P4 - Aéroport Lyon - St-Exupéry,Aéroport Saint Exupéry,"5,077925713386929","45,72202930340961"
Parking P5 - Aéroport Lyon - St-Exupéry,Aéroport Saint Exupéry,"5,077925713386929","45,72202930340961"
Parking P3 - Aéroport Lyon - St-Exupéry,Aéroport Saint Exupéry,"5,077925713386929","45,72202930340961"
Marché gare - La Confluence,Quai Perrache,4.82411688444436,45.7413422488533
Cuirassiers 1 centre commercial,"17, Rue du Docteur Bouchut",4.8547826,45.7596
P+R Grézieu la Varenne,Route du Col de la Luère,4.62906000000004,45.76277
